Nombre_Producto,Cantidad,Descripcion_Producto,ID_OC
Azúcar,60,"Azúcar blanca, paquete de 1kg",13
Harina de Maíz,70,"Harina de maíz precocida, paquete de 1kg",13
Leche,120,"Leche entera, botella de 1 litro",13
Huevos,150,"Huevos frescos, docena",13
Pan,200,"Pan integral, unidad",13
Mantequilla,70,"Mantequilla sin sal, barra de 200g",13
Jugo de Naranja,90,"Jugo de naranja natural, botella de 1 litro",13
Pasta,120,"Pasta tipo espagueti, paquete de 500g",13
Arroz,100,"Arroz blanco, paquete de 1kg",14
Frijoles,50,"Frijoles negros, paquete de 500g",14
Aceite de Oliva,30,"Aceite de oliva extra virgen, botella de 500ml",14
Harina de Trigo,80,"Harina de trigo, paquete de 1kg",14
Sal,90,"Sal de mesa, paquete de 1kg",14
Queso,80,"Queso fresco, 250g",14
Pollo,100,"Pollo fresco, kg",14
Atún enlatado,120,"Atún enlatado al natural, lata de 200g",15
Sardinas enlatadas,70,"Sardinas enlatadas en aceite, lata de 100g",15
Café,40,"Café tostado y molido, paquete de 250g",15
Yogur,100,"Yogur natural, envase de 500g",15
Carne de Res,80,"Carne de res fresca, kg",15
Cemento,200,"Bolsa de cemento Portland, 50kg",16
Arena,300,"Arena gruesa, metro cúbico",16
Clavos,400,"Clavos galvanizados, caja de 1kg",16
Cable Eléctrico,200,"Cable eléctrico THW-12, rollo de 100m",16
Ventanas,150,"Ventanas de aluminio, unidad",16
Azulejos,400,"Azulejos cerámicos para baño, metro cuadrado",16
Hormigón,150,"Hormigón premezclado, metro cúbico",17
Madera,180,"Tablas de madera de pino, metro cúbico",17
Impermeabilizante,80,"Impermeabilizante acrílico, cubeta de 20kg",17
Tejas,300,"Tejas de cerámica, unidad",17
Piedra,350,"Piedra de cantera, metro cúbico",17
Cal,180,"Cal hidratada, saco de 25kg",17
Tuberías PVC,250,"Tuberías de PVC para agua potable, metro",17
Grifería,200,"Grifería para cocina y baño, juego",17
Láminas de Yeso,220,"Láminas de yeso para tabiquería, unidad",17
Disco Duro Externo,40,"Disco duro externo USB, capacidad de 1TB",18
Router Wi-Fi,15,"Router inalámbrico, velocidad de hasta 1200 Mbps",18
Software Antivirus,60,"Licencia de software antivirus, protección com...",18
Tableta Gráfica,20,"Tableta gráfica para diseño, modelo profesional",18
Auriculares Bluetooth,30,"Auriculares inalámbricos Bluetooth, cancelació...",18
Software de Edición de Video,10,Licencia de software de edición de video profe...,18
Maletín para Portátil,45,"Maletín para portátil, resistente y acolchado",18
Computadora Portátil,50,"Computadora portátil, modelo estándar",19
Computadora de Escritorio,30,"Computadora de escritorio, incluye monitor, te...",19
Cámara Web HD,25,"Cámara web de alta definición, resolución 1080p",19
Altavoces Inalámbricos,40,"Altavoces inalámbricos Bluetooth, sonido estéreo",19
Monitor,25,"Monitor LED de 24 pulgadas, resolución Full HD",20
Mouse Óptico,50,"Mouse óptico inalámbrico, ergonómico",20
Estabilizador de Voltaje,15,Estabilizador de voltaje para protección de eq...,20
Micrófono USB,20,"Micrófono USB de condensador, para grabación d...",20
Lámpara de Escritorio,50,"Lámpara de escritorio LED, con brazo flexible",21
Plafón LED,60,"Plafón LED redondo, luz blanca, diámetro de 30 cm",21
Lámpara de Techo,50,"Lámpara de techo moderna, con diseño de crista...",21
Lámpara de Mesa,40,"Lámpara de mesa de estilo industrial, base de ...",21
Lámpara Colgante Industrial,35,"Lámpara colgante industrial, estilo vintage, c...",21
Reflectores LED,40,"Reflectores LED de exterior, sensor de movimie...",22
Faroles Solares,90,"Faroles solares LED, efecto de luz parpadeante...",22
Lámpara de Pie,40,"Lámpara de pie moderna, con regulador de altur...",22
Foco LED para Exterior,60,"Foco LED para exterior, resistente al agua, 30W",22
Bombillas LED,200,"Bombillas LED de 10W, paquete de 4 unidades",23
Lámpara Solar de Jardín,70,"Lámpara solar LED para jardín, paquete de 8 un...",23
Proyector LED,20,"Proyector LED portátil, resolución HD, incluye...",23
Luz de Emergencia LED,35,"Luz de emergencia LED recargable, con sensor d...",23
Focos Empotrados,100,"Focos empotrados LED, luz cálida, paquete de 6...",24
Tiras LED,80,"Tiras LED RGB, control remoto incluido, 5 metros",24
Aplique de Pared,25,"Aplique de pared LED, diseño minimalista, luz ...",24
Plafón LED Cuadrado,45,"Plafón LED cuadrado, diseño ultrafino, luz neutra",24
Lámpara de Escritorio Vintage,25,"Lámpara de escritorio vintage, estilo retro, c...",24
Galletas,120,"Galletas de avena, paquete de 300g",25
Leche en Polvo,90,"Leche en polvo descremada, paquete de 400g",25
Fideos,150,"Fideos de trigo, paquete de 500g",26
Aceite de Cocina,100,"Aceite de cocina vegetal, botella de 1 litro",26
Conserva de Atún,80,"Conserva de atún en aceite, lata de 200g",26
Arroz,200,"Arroz blanco, paquete de 1kg",27
Harina de Trigo,180,"Harina de trigo, paquete de 1kg",27
Lentejas,120,"Lentejas secas, paquete de 500g",27
Cinta Adhesiva,300,"Cinta adhesiva transparente, rollo de 50 metros",28
Envases de Plástico,200,"Envases de plástico para almacenamiento, paque...",28
Relleno de Espuma,150,Relleno de espuma para protección de productos...,28
Esquineros de Cartón,200,Esquineros de cartón para refuerzo de paquetes...,28
Bolsas de Burbujas,350,Bolsas de burbujas para protección de producto...,28
Bolsas de Embalaje,400,"Bolsas de embalaje plásticas, tamaño grande",29
Film Stretch,250,"Film stretch para paletizado, rollo de 500 metros",29
Etiquetas de Envío,400,"Etiquetas de envío autoadhesivas, paquete de 1...",29
Bombillas LED,200,"Bombillas LED de bajo consumo, paquete de 6 un...",30
Bombillas de Bajo Consumo,180,"Bombillas de bajo consumo, luz cálida, paquete...",30
Sensores de Movimiento,120,"Sensores de movimiento para iluminación, alcan...",30
Lámparas Solares,150,"Lámparas solares LED para jardín, luz blanca c...",30
Calentadores de Agua Solares,70,Calentadores de agua solares para uso residencial,30
Inversores Solares,80,Inversores solares para conversión de energía ...,30
Luces de Emergencia Solares,100,Luces de emergencia solares LED para uso exterior,30
Sistemas de Riego Solar,60,Sistemas de riego solares automatizados para j...,30
Lámparas LED Inteligentes,150,Lámparas LED inteligentes controladas por apli...,30
Paneles Solares Flexibles,100,Paneles solares flexibles para aplicaciones en...,30
Paneles Solares,100,"Paneles solares fotovoltaicos, capacidad de 300W",31
Baterías Recargables,150,"Baterías recargables de iones de litio, capaci...",31
Termos Solares,80,"Termos solares para agua caliente, capacidad d...",31
Controladores de Carga Solar,90,Controladores de carga solar para paneles foto...,31
Reflectores Solares,70,Reflectores solares para iluminación de áreas ...,31
Paneles Solares,150,Paneles solares fotovoltaicos de alta eficienc...,32
Baterías de Ciclo Profundo,120,Baterías de ciclo profundo para sistemas de re...,32
Controladores de Carga Solar,80,"Controladores de carga solar MPPT, eficiencia ...",32
Bombas Solares,70,Bombas solares sumergibles para riego agrícola...,32
Sistemas de Monitoreo Solar,60,"Sistemas de monitoreo solar en tiempo real, pl...",32
Estructuras de Montaje para Paneles Solares,100,Estructuras de montaje para paneles solares en...,32
Sistemas de Bombeo Solar Directo,50,Sistemas de bombeo solar directo para extracci...,32
Sistemas de Almacenamiento de Energía,80,Sistemas de almacenamiento de energía con bate...,32
Reflectores Solares,70,Reflectores solares para concentración de ener...,32
